arrival_time_s,input_len,output_len
185.5355,512,32
185.7431,512,32
185.8934,3072,512
186.1421,1024,32
186.3959,1024,32
186.4165,1024,128
186.5395,2048,128
186.7466,5120,512
186.8947,512,32
187.0359,3072,512
187.1626,512,32
187.2516,1024,32
187.5517,128,32
187.7422,2048,128
187.7957,512,32
188.2451,512,32
188.4060,2048,32
188.6434,2048,512
188.7457,512,32
188.9930,512,128
189.1440,512,32
189.1622,2048,128
189.2512,512,32
189.3976,512,32
189.4152,512,32
189.5445,2048,512
189.7527,3072,128
189.8956,512,32
190.0493,128,128
190.1456,6144,32
190.3957,1024,32
190.5444,512,32
190.7988,512,32
190.9141,4096,32
190.9952,1024,32
191.1665,1024,32
191.2540,5120,32
191.5000,2048,512
191.6662,3072,32
191.7050,128,32
191.9958,3072,128
192.1634,2048,512
192.2543,2048,32
192.5025,512,32
192.6465,4096,32
192.7564,512,32
192.9095,512,32
193.1795,3072,32
193.2487,3072,32
193.5029,512,32
193.6635,512,32
193.7866,2048,128
194.0374,2048,32
194.1462,4096,32
194.2523,512,32
194.4185,512,32
194.6544,2048,32
194.7503,512,32
195.0364,512,32
195.2490,2048,32
195.4067,1024,32
195.5377,3072,128
195.7496,1024,32
195.8948,2048,32
196.7462,3072,32
196.7958,5120,32
197.0032,512,32
197.3982,2048,1024
197.6531,2048,128
197.6654,3072,1024
197.9027,1024,32
197.9184,512,32
197.9958,3072,32
198.1631,512,32
198.2488,512,32
198.4194,2048,128
198.6498,4096,32
198.7483,512,32
198.7967,2048,32
198.9195,512,32
199.1490,512,128
199.2497,512,32
199.4025,512,32
199.5369,2048,32
199.6627,32,32
199.7880,512,32
200.0370,2048,32
200.2033,512,128
200.4182,2048,32
200.6493,1024,128
200.7519,512,32
200.9170,4096,32
201.2461,8192,32
201.5025,2048,128
201.7481,512,32
201.7566,3072,512
201.9003,512,32
202.1503,512,32
202.1824,512,32
202.2502,512,32
202.4969,512,32
202.6512,1024,32
202.7533,3072,32
203.1766,512,32
203.6562,128,32
203.7561,4096,32
203.9224,512,32
204.0421,4096,128
204.1557,1024,32
204.3965,512,32
204.4247,32,32
204.6481,512,128
204.6756,2048,32
204.9017,512,32
205.0471,3072,32
205.1535,512,32
205.3944,512,32
205.5051,512,32
205.6472,128,32
205.7580,512,32
