unix_ts,seq,phase,workload_id,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib
1784715846.843295643,1,benchmark,short_r1,23701810238,11267630518,0, 79.98, 2520, 37819
1784715847.425698698,1,benchmark,short_r1,23701839784,11276449831,0, 80.23, 2520, 37819
1784715848.006121216,1,benchmark,short_r1,23701853432,11280855876,0, 81.27, 2520, 37819
1784715848.587404457,1,benchmark,short_r1,23701853432,11280855876,0, 81.46, 2520, 37819
1784715849.169268356,1,benchmark,short_r1,23701868868,11285272641,0, 76.89, 2520, 37819
1784715849.749383035,1,benchmark,short_r1,23701868868,11285272641,0, 77.11, 2520, 37819
1784715850.331175838,1,benchmark,short_r1,23701871112,11285280816,0, 76.07, 2520, 37819
1784715850.910708887,2,benchmark,prefill_r1,23701871112,11285280816,0, 76.07, 2520, 37819
1784715851.492615017,2,benchmark,prefill_r1,23701873850,11285286678,0, 75.78, 2520, 37819
1784715852.075451987,2,benchmark,prefill_r1,23701873850,11285286678,0, 75.78, 2520, 37819
1784715852.657365503,2,benchmark,prefill_r1,23701876668,11285296048,0, 76.00, 2520, 37819
1784715853.240488719,2,benchmark,prefill_r1,23701880312,11285306633,0, 75.99, 2520, 37819
1784715853.823798781,2,benchmark,prefill_r1,23701880312,11285306633,0, 75.99, 2520, 37819
1784715854.405445899,2,benchmark,prefill_r1,23701884892,11285321959,0, 76.01, 2520, 37819
1784715854.988007495,2,benchmark,prefill_r1,23701884892,11285321959,0, 76.01, 2520, 37819
1784715855.569020163,2,benchmark,prefill_r1,23701887796,11285328405,0, 76.15, 2520, 37819
1784715856.151248201,2,benchmark,prefill_r1,23701887796,11285328405,0, 76.15, 2520, 37819
1784715856.731912298,2,benchmark,prefill_r1,23701891320,11285339890,0, 76.61, 2520, 37819
1784715857.314609751,2,benchmark,prefill_r1,23701894898,11285351604,0, 76.47, 2520, 37819
1784715857.897480950,2,benchmark,prefill_r1,23701894898,11285351604,0, 76.47, 2520, 37819
1784715858.478394826,2,benchmark,prefill_r1,23701898356,11285363546,0, 75.98, 2520, 37819
1784715859.060948517,2,benchmark,prefill_r1,23701898356,11285363546,0, 75.98, 2520, 37819
1784715859.641703983,2,benchmark,prefill_r1,23701900400,11285370109,0, 75.88, 2520, 37819
1784715860.223737907,2,benchmark,prefill_r1,23701900400,11285370109,0, 75.76, 2520, 37819
1784715860.804791247,2,benchmark,prefill_r1,23701903726,11285374267,0, 75.76, 2520, 37819
1784715861.384280177,2,benchmark,prefill_r1,23701907172,11285378785,0, 75.74, 2520, 37819
1784715861.965836085,2,benchmark,prefill_r1,23701907172,11285378785,0, 75.74, 2520, 37819
1784715862.548407650,2,benchmark,prefill_r1,23701909670,11285382098,0, 75.76, 2520, 37819
1784715863.129325039,2,benchmark,prefill_r1,23701909670,11285382098,0, 75.76, 2520, 37819
1784715863.711159176,2,benchmark,prefill_r1,23701912476,11285386498,0, 76.15, 2520, 37819
1784715864.292075660,2,benchmark,prefill_r1,23701912476,11285386498,0, 76.15, 2520, 37819
1784715864.873460449,2,benchmark,prefill_r1,23701916790,11285396640,0, 76.15, 2520, 37819
1784715865.456984559,2,benchmark,prefill_r1,23701920302,11285402483,0, 75.88, 2520, 37819
1784715866.039224923,2,benchmark,prefill_r1,23701920302,11285402483,0, 94.00, 2505, 37861
1784715866.620998170,2,benchmark,prefill_r1,23701999862,11355628157,0, 99.69, 2520, 37861
1784715867.201980932,2,benchmark,prefill_r1,23701999862,11355628157,0, 77.79, 2520, 37861
