mono_s,power_w,sm_mhz,energy_mj
2505647.943,69.55,1500,56344589426
2505648.063,69.61,1500,56344603319
2505648.180,69.60,1500,56344610262
2505648.302,69.60,1500,56344617225
2505648.423,69.61,1500,56344624182
2505648.542,69.51,1500,56344631130
2505648.647,65.76,1500,56344636625
2505648.754,61.88,1500,56344639229
2505648.859,57.95,1500,56344644392
2505648.964,50.09,1500,56344646960
2505649.069,46.03,1500,56344649531
2505649.173,42.03,1500,56344652102
2505649.278,38.12,1500,56344654674
2505649.382,34.12,1500,56344657242
2505649.487,30.13,1500,56344659806
2505649.592,30.13,1500,56344662362
2505649.697,28.88,1470,56344667005
2505649.803,33.32,1020,56344675258
2505649.915,37.58,1080,56344682467
2505650.022,41.90,1080,56344689838
2505650.129,46.35,1110,56344697175
2505650.236,50.65,1080,56344704534
2505650.354,54.43,1410,56344718276
2505650.472,58.55,1500,56344725319
2505650.589,66.58,1485,56344732307
2505650.708,72.20,1500,56344739348
2505650.825,71.79,1500,56344746390
2505650.942,71.35,1500,56344753447
2505651.061,71.17,1500,56344767529
2505651.180,70.86,1500,56344774598
2505651.300,70.26,1500,56344781665
2505651.419,70.53,1500,56344788726
2505651.540,70.52,1500,56344795801
2505651.660,70.59,1500,56344809904
2505651.779,70.71,1500,56344816968
2505651.898,70.73,1500,56344824038
2505652.019,70.78,1500,56344831108
2505652.140,70.75,1500,56344838182
2505652.259,70.78,1500,56344852341
2505652.378,70.81,1500,56344859416
2505652.499,70.81,1500,56344866497
2505652.619,70.84,1500,56344873580
2505652.739,70.79,1500,56344880654
2505652.860,70.90,1500,56344894830
2505652.978,70.91,1500,56344901910
2505653.098,70.92,1500,56344909015
2505653.220,70.92,1500,56344916102
2505653.339,70.89,1500,56344923187
2505653.460,70.95,1500,56344937359
2505653.579,70.95,1500,56344944453
2505653.699,70.99,1500,56344951547
2505653.818,71.00,1500,56344958645
2505653.939,71.00,1500,56344965751
2505654.059,71.01,1500,56344979937
2505654.180,71.01,1500,56344987036
2505654.298,71.03,1500,56344994132
2505654.418,71.04,1500,56345001230
2505654.538,71.06,1500,56345008340
2505654.658,71.03,1500,56345022545
2505654.779,71.13,1500,56345029654
2505654.899,71.14,1500,56345036773
2505655.019,71.14,1500,56345043891
2505655.139,71.13,1500,56345050982
2505655.258,71.07,1500,56345065192
2505655.378,71.17,1500,56345072293
2505655.498,71.17,1500,56345079421
2505655.619,71.21,1500,56345086547
2505655.739,71.21,1500,56345093671
2505655.857,71.15,1500,56345107876
2505655.978,71.19,1500,56345114997
2505656.099,71.25,1500,56345122114
2505656.219,71.26,1500,56345129242
2505656.339,71.24,1500,56345136368
2505656.459,71.31,1500,56345150606
2505656.578,71.29,1500,56345157730
2505656.699,71.30,1500,56345164845
2505656.818,71.33,1500,56345171967
2505656.937,71.29,1500,56345179093
2505657.058,71.34,1500,56345193357
2505657.179,71.37,1500,56345200481
2505657.299,71.39,1500,56345207625
2505657.419,71.38,1500,56345214760
2505657.537,71.33,1500,56345221890
2505657.659,71.47,1500,56345236175
2505657.779,71.47,1500,56345243313
2505657.899,71.47,1500,56345250457
2505658.018,71.48,1500,56345257590
2505658.138,71.46,1500,56345264762
2505658.257,71.49,1500,56345279032
2505658.378,71.48,1500,56345286162
2505658.498,71.53,1500,56345293299
2505658.616,71.51,1500,56345300442
2505658.736,71.52,1500,56345307587
2505658.858,71.47,1500,56345321885
2505658.977,71.57,1500,56345329030
2505659.098,71.55,1500,56345336192
2505659.217,71.58,1500,56345343346
2505659.337,71.61,1500,56345350490
2505659.457,71.51,1500,56345364810
2505659.577,71.61,1500,56345371974
2505659.697,71.64,1500,56345379135
2505659.817,71.64,1500,56345386312
