request_id,workload_id,input_len,requested_output_len,observed_output_tokens,prefill_endpoint_id,decode_endpoint_id,ttft_ms,tpot_ms,client_observed_ttft_ms,client_observed_tpot_ms,mean_itl_ms,e2e_latency_ms,prefill_latency_ms,decode_stream_latency_ms,real_sse,logical_request_id_propagated
phase3c-xpyd_power_compare_baseline_256655-0071,prefill_medium,1024,64,64,P1,D1,301.038550096564,56.962931475099474,309.9802479846403,56.96790300065741,56.962553348894865,3898.9581370260566,217.3063480295241,3672.075706999749,True,True
phase3c-xpyd_power_compare_baseline_256655-0072,prefill_medium,1024,64,64,P1,D1,303.15388401504606,56.97106331815973,311.7626119637862,56.97971139664924,56.970026111230254,3901.4844299526885,219.93450599256903,3672.074290108867,True,True
phase3c-xpyd_power_compare_baseline_256655-0073,prefill_medium,1024,64,64,P1,D1,293.7387829879299,56.98174569711444,302.9782989760861,56.9853840787555,56.981038618167595,3893.0574959376827,212.3162919888273,3671.0294359363616,True,True
phase3c-xpyd_power_compare_baseline_256655-0074,prefill_medium,1024,64,64,P1,D1,293.22216799482703,56.96559612572725,300.8244290249422,56.96980266587898,56.96538107890991,3889.9219969753176,210.05738398525864,3671.700246981345,True,True
phase3c-xpyd_power_compare_baseline_256655-0075,prefill_medium,1024,64,64,P1,D1,293.05970401037484,56.960123920044495,301.9761979812756,56.96348058584604,56.95822614149028,3890.6754748895764,209.33377591427416,3671.9118600012735,True,True
phase3c-xpyd_power_compare_baseline_256655-0076,prefill_medium,1024,64,64,P1,D1,303.34168998524547,56.96254744497497,312.44272901676595,56.96634225369919,56.96206144426787,3901.322290999815,219.5883330423385,3672.0662739826366,True,True
phase3c-xpyd_power_compare_baseline_256655-0077,prefill_medium,1024,64,64,P1,D1,306.9555409019813,56.949885635976756,315.3115340974182,56.95447542830297,56.949088189174375,3903.443486080505,222.7293469477445,3671.7319840099663,True,True
phase3c-xpyd_power_compare_baseline_256655-0078,prefill_medium,1024,64,64,P1,D1,318.90327495057136,56.95949436631054,328.6647809436545,56.95722811108839,56.95255161891322,3916.9701519422233,233.32481598481536,3673.7044730689377,True,True
phase3c-xpyd_power_compare_baseline_256655-0079,prefill_medium,1024,64,64,P1,D1,302.60280694346875,56.95834498490311,316.1973310634494,56.9630036821648,56.95705561869083,3904.866563039832,218.08604302350432,3672.577060991898,True,True
phase3c-xpyd_power_compare_baseline_256655-0080,prefill_medium,1024,64,64,P1,D1,299.2676100693643,56.97049950766895,311.20594509411603,56.97640309494639,56.97189818971628,3900.7193400757387,217.87142206449062,3670.272510033101,True,True
phase3c-xpyd_power_compare_baseline_256655-0081,prefill_medium,1024,64,64,P1,D1,301.19365092832595,56.95973874609326,309.09053597133607,56.96465763529496,56.95901985745877,3897.863966994919,217.7175630349666,3671.6982249636203,True,True
phase3c-xpyd_power_compare_baseline_256655-0082,prefill_medium,1024,64,64,P1,D1,301.02504894603044,56.9669772383003,309.07162197399884,56.97229942898193,56.96767047675888,3898.32648599986,219.81095895171165,3669.9017230421305,True,True
phase3c-xpyd_power_compare_baseline_256655-0083,prefill_medium,1024,64,64,P1,D1,302.2863569203764,56.96736566633696,310.56738004554063,56.97263079318439,56.96751688799215,3899.8431200161576,220.29181197285652,3670.704813906923,True,True
