gpu,phase,tp,freq_mhz,shape,slo_ms,rho_max,n_points
l40s,decode,2,1500,all,200,3.2558,21
l40s,decode,2,1500,all,400,4.5278,21
l40s,prefill,2,1245,all,200,0.9015,30
l40s,prefill,2,1245,all,500,1.0803,30
l40s,prefill,2,1245,all,1000,1.0803,30
l40s,decode,2,1245,all,100,1.0803,30
l40s,decode,2,1245,all,200,3.2509,30
l40s,decode,2,1245,all,400,4.521,30
l40s,prefill,2,990,all,200,0.078,30
l40s,prefill,2,990,all,500,0.3552,30
l40s,prefill,2,990,all,1000,1.4972,30
l40s,decode,2,990,all,100,1.4972,30
l40s,decode,2,990,all,200,3.3784,30
l40s,decode,2,990,all,400,4.5031,30
l40s,prefill,2,735,all,200,0.2676,27
l40s,prefill,2,735,all,500,0.2676,27
l40s,prefill,2,735,all,1000,1.6116,27
l40s,decode,2,735,all,100,1.6116,27
l40s,decode,2,735,all,200,3.3784,27
l40s,decode,2,735,all,400,4.5031,27
l40s,prefill,2,480,all,200,0.0,24
l40s,prefill,2,480,all,500,0.0,24
l40s,prefill,2,480,all,1000,0.9713,24
l40s,decode,2,480,all,100,2.0614,24
l40s,decode,2,480,all,200,3.3737,24
l40s,decode,2,480,all,400,4.4973,24
l40s,prefill,2,210,all,200,0.0,21
l40s,prefill,2,210,all,500,0.0,21
l40s,prefill,2,210,all,1000,0.0,21
l40s,decode,2,210,all,100,0.0,21
l40s,decode,2,210,all,200,4.0651,21
l40s,decode,2,210,all,400,5.3722,21
l40s,prefill,4,2265,all,200,1.1794,48
l40s,prefill,4,2265,all,500,1.1794,48
l40s,prefill,4,2265,all,1000,1.5799,48
l40s,decode,4,2265,all,100,1.1794,48
l40s,decode,4,2265,all,200,5.3618,48
l40s,decode,4,2265,all,400,5.3618,48
l40s,prefill,4,2010,all,200,1.2431,45
l40s,prefill,4,2010,all,500,1.2431,45
l40s,prefill,4,2010,all,1000,1.5803,45
l40s,decode,4,2010,all,100,1.2431,45
l40s,decode,4,2010,all,200,5.4749,45
l40s,decode,4,2010,all,400,13.3285,45
l40s,prefill,4,1755,all,200,1.2599,45
l40s,prefill,4,1755,all,500,1.2599,45
l40s,prefill,4,1755,all,1000,1.5793,45
l40s,decode,4,1755,all,100,1.2599,45
l40s,decode,4,1755,all,200,4.738,45
l40s,decode,4,1755,all,400,9.1193,45
l40s,prefill,4,1500,all,200,1.2562,45
l40s,prefill,4,1500,all,500,1.2562,45
l40s,prefill,4,1500,all,1000,1.5792,45
l40s,decode,4,1500,all,100,1.2562,45
l40s,decode,4,1500,all,200,5.3277,45
l40s,decode,4,1500,all,400,13.3193,45
l40s,prefill,4,1245,all,200,0.8314,57
l40s,prefill,4,1245,all,500,1.2513,57
l40s,prefill,4,1245,all,1000,1.2513,57
l40s,decode,4,1245,all,100,1.2513,57
l40s,decode,4,1245,all,200,13.3051,57
l40s,decode,4,1245,all,400,13.3051,57
l40s,prefill,4,990,all,200,0.4932,51
l40s,prefill,4,990,all,500,0.9824,51
l40s,prefill,4,990,all,1000,1.4524,51
l40s,decode,4,990,all,100,1.4524,51
l40s,decode,4,990,all,200,13.2522,51
l40s,decode,4,990,all,400,13.2522,51
l40s,prefill,4,735,all,200,0.0,63
l40s,prefill,4,735,all,500,0.4657,63
l40s,prefill,4,735,all,1000,1.55,63
l40s,decode,4,735,all,100,1.55,63
l40s,decode,4,735,all,200,1.55,63
l40s,decode,4,735,all,400,13.2522,63
l40s,prefill,4,480,all,200,0.0,66
l40s,prefill,4,480,all,500,0.1637,66
l40s,prefill,4,480,all,1000,0.818,66
l40s,decode,4,480,all,100,1.2222,66
l40s,decode,4,480,all,200,1.2222,66
l40s,decode,4,480,all,400,13.2903,66
l40s,prefill,4,210,all,200,0.0,45
l40s,prefill,4,210,all,500,0.0,45
l40s,prefill,4,210,all,1000,1.6029,45
l40s,decode,4,210,all,100,0.0,45
l40s,decode,4,210,all,200,1.6029,45
l40s,decode,4,210,all,400,1.6029,45
