unix_ns,monotonic_ns,event,client_request_id,internal_request_id,route_index,stage,upstream_url,http_status,bytes,prefill_http,decode_http,traceparent,error
1785364477901203893,989847944733388,upstream_dispatch,prefill_heavy-00034-8df0b1755f9f,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00034-8df0b1755f9f_23b72272364e4539acebb7bc336ebc0c,54,prefill,http://10.1.0.6:32327/v1/completions,,,,,00-30c4fd370145489f8f45b017dc23ce36-beaf7509ebb14a4c-01,
1785364477910155630,989847953685697,upstream_headers,prefill_heavy-00034-8df0b1755f9f,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00034-8df0b1755f9f_23b72272364e4539acebb7bc336ebc0c,54,prefill,http://10.1.0.6:32327/v1/completions,200,,,,00-30c4fd370145489f8f45b017dc23ce36-beaf7509ebb14a4c-01,
1785364478045501047,989848089031436,upstream_first_chunk,prefill_heavy-00034-8df0b1755f9f,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00034-8df0b1755f9f_23b72272364e4539acebb7bc336ebc0c,54,prefill,http://10.1.0.6:32327/v1/completions,200,712,,,00-30c4fd370145489f8f45b017dc23ce36-beaf7509ebb14a4c-01,
1785364478048427108,989848091957933,upstream_complete,prefill_heavy-00034-8df0b1755f9f,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00034-8df0b1755f9f_23b72272364e4539acebb7bc336ebc0c,54,prefill,http://10.1.0.6:32327/v1/completions,200,712,,,00-30c4fd370145489f8f45b017dc23ce36-beaf7509ebb14a4c-01,
1785364478051155396,989848094685211,upstream_dispatch,prefill_heavy-00034-8df0b1755f9f,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00034-8df0b1755f9f_23b72272364e4539acebb7bc336ebc0c,54,decode,http://10.1.0.3:33327/v1/completions,,,,,00-30c4fd370145489f8f45b017dc23ce36-beaf7509ebb14a4c-01,
1785364478059850021,989848103380106,upstream_headers,prefill_heavy-00034-8df0b1755f9f,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00034-8df0b1755f9f_23b72272364e4539acebb7bc336ebc0c,54,decode,http://10.1.0.3:33327/v1/completions,200,,,,00-30c4fd370145489f8f45b017dc23ce36-beaf7509ebb14a4c-01,
1785364478140447630,989848183978099,upstream_complete,prefill_heavy-00030-ea2015a6f5d2,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00030-ea2015a6f5d2_8c36390a16794d398fb18391e9eb731f,50,decode,http://10.1.0.3:33327/v1/completions,200,12488,,,00-68bacabcde9b4958a6ca56d82c33a0ab-98f7a71ab1164d00-01,
1785364478145661851,989848189192131,proxy_complete,prefill_heavy-00030-ea2015a6f5d2,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00030-ea2015a6f5d2_8c36390a16794d398fb18391e9eb731f,50,,,,,10.1.0.6:32327,10.1.0.3:33327,00-68bacabcde9b4958a6ca56d82c33a0ab-98f7a71ab1164d00-01,
1785364478192011212,989848235541824,upstream_first_chunk,prefill_heavy-00034-8df0b1755f9f,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00034-8df0b1755f9f_23b72272364e4539acebb7bc336ebc0c,54,decode,http://10.1.0.3:33327/v1/completions,200,377,,,00-30c4fd370145489f8f45b017dc23ce36-beaf7509ebb14a4c-01,
1785364478395680257,989848439210764,proxy_arrival,prefill_heavy-00035-794af52d8f1e,,,,,,,,,00-7d191f6814614b81ad8316c72e719d5d-02fea015cebd4c7e-01,
1785364478398460627,989848441991005,proxy_route,prefill_heavy-00035-794af52d8f1e,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00035-794af52d8f1e_a68316a6ae914685b94d55c214361af2,55,,,,,10.1.0.6:32327,10.1.0.3:33327,00-7d191f6814614b81ad8316c72e719d5d-02fea015cebd4c7e-01,
1785364478400440669,989848443970146,upstream_dispatch,prefill_heavy-00035-794af52d8f1e,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00035-794af52d8f1e_a68316a6ae914685b94d55c214361af2,55,prefill,http://10.1.0.6:32327/v1/completions,,,,,00-7d191f6814614b81ad8316c72e719d5d-02fea015cebd4c7e-01,
1785364478409254755,989848452784570,upstream_headers,prefill_heavy-00035-794af52d8f1e,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00035-794af52d8f1e_a68316a6ae914685b94d55c214361af2,55,prefill,http://10.1.0.6:32327/v1/completions,200,,,,00-7d191f6814614b81ad8316c72e719d5d-02fea015cebd4c7e-01,
1785364478554613492,989848598143830,upstream_first_chunk,prefill_heavy-00035-794af52d8f1e,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00035-794af52d8f1e_a68316a6ae914685b94d55c214361af2,55,prefill,http://10.1.0.6:32327/v1/completions,200,711,,,00-7d191f6814614b81ad8316c72e719d5d-02fea015cebd4c7e-01,
