unix_ts,host,gpu_index,gpu_uuid,power_w,sm_clock_mhz,gpu_util_pct
1786139793.204062,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.5,210.0,0.0
1786139793.204062,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.6,210.0,0.0
1786139793.704633,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.42,210.0,0.0
1786139793.704633,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.23,210.0,0.0
1786139793.704633,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.5,210.0,0.0
1786139793.704633,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.6,210.0,0.0
1786139794.205128,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.42,210.0,0.0
1786139794.205128,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.23,210.0,0.0
1786139794.205128,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.45,210.0,0.0
1786139794.205128,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.47,210.0,0.0
1786139794.705625,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.54,210.0,0.0
1786139794.705625,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.11,210.0,0.0
1786139794.705625,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.45,210.0,0.0
1786139794.705625,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.47,210.0,0.0
1786139795.206119,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.54,210.0,0.0
1786139795.206119,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.11,210.0,0.0
1786139795.206119,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.45,210.0,0.0
1786139795.206119,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.46,210.0,0.0
1786139795.706607,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.53,210.0,0.0
1786139795.706607,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.11,210.0,0.0
1786139795.706607,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.45,210.0,0.0
1786139795.706607,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.46,210.0,0.0
1786139796.207103,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.53,210.0,0.0
1786139796.207103,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.11,210.0,0.0
1786139796.207103,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.45,210.0,0.0
1786139796.207103,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.46,210.0,0.0
1786139796.707596,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.4,210.0,0.0
1786139796.707596,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.11,210.0,0.0
1786139796.707596,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.45,210.0,0.0
1786139796.707596,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.46,210.0,0.0
1786139797.208086,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.4,210.0,0.0
1786139797.208086,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.11,210.0,0.0
1786139797.208086,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139797.208086,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.58,210.0,0.0
1786139797.708581,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.4,210.0,0.0
1786139797.708581,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.11,210.0,0.0
1786139797.708581,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139797.708581,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.58,210.0,0.0
1786139798.209080,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.4,210.0,0.0
1786139798.209080,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.11,210.0,0.0
1786139798.209080,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
