phase,request_id,p_mhz,d_mhz,input_len,output_len,burst_size,rank,rep,background_target,background_active,status,error,ttft_ms,tpot_ms,client_first_chunk_ms,client_done_ms,chunks,t_request_received_ms,t_route_selected_ms,t_prefill_started_ms,t_prefill_completed_ms,t_kv_handoff_completed_ms,t_decode_request_started_ms,t_decode_response_headers_received_ms,t_decode_first_real_chunk_received_ms,t_decode_first_real_chunk_forwarded_ms,t_decode_last_chunk_received_ms,t_response_completed_ms
bursts_reference,k1-bursts_reference-000069,2520,1500,1024,16,4,1,3,,,ok,,902.16178400442,61.80023653432727,902.2015440277755,1834.4251420348883,16,0.036271754652261734,0.050865113735198975,0.12770388275384903,797.1267509274185,797.1297209151089,797.1938657574356,821.6638090088964,902.1980557590723,902.2000599652529,1829.2016037739813,1829.206848051399
bursts_reference,k1-bursts_reference-000071,2520,1500,1024,16,4,3,3,,,ok,,900.9309327229857,61.80067813644806,900.9675700217485,1834.803347941488,16,0.033705029636621475,0.05065789446234703,0.11003203690052032,796.544904820621,796.5476349927485,796.6135549359024,820.4943430610001,900.9646377526224,900.966377928853,1827.9748097993433,1827.979298774153
bursts_reference,k1-bursts_reference-000070,2520,1500,1024,16,4,2,3,,,ok,,901.5427296981215,61.801080871373415,901.5772100538015,1836.9837678037584,16,0.03183400258421898,0.05132285878062248,0.11352868750691414,794.9710399843752,794.9749049730599,795.074415858835,821.1548416875303,901.5745637007058,901.5760007314384,1828.590776771307,1828.5946897231042
bursts_reference,k1-bursts_reference-000072,2520,1500,1024,16,8,0,2,,,ok,,1312.3448267579079,63.46250707283616,1312.4004690907896,2266.990106087178,16,0.04804600030183792,0.06536208093166351,0.17142482101917267,1215.6711760908365,1215.6736417673528,1215.7402969896793,1233.6840741336346,1312.3928727582097,1312.3973738402128,2264.330478850752,2264.339047949761
bursts_reference,k1-bursts_reference-000073,2520,1500,1024,16,8,1,2,,,ok,,1311.4911341108382,63.47391953070959,1311.5310580469668,2267.6169076003134,16,0.0362456776201725,0.0509689562022686,0.12804102152585983,1214.086640626192,1214.0898336656392,1214.1638388857245,1233.0452860333025,1311.5273797884583,1311.5294608287513,2263.636172749102,2263.6420307680964
bursts_reference,k1-bursts_reference-000077,2520,1500,1024,16,8,5,2,,,ok,,1309.3213546089828,63.488900009542704,1309.3492151238024,2267.208939883858,16,0.024772249162197113,0.04189508035778999,0.09519513696432114,1211.001351941377,1211.005223914981,1211.1011832021177,1230.9363661333919,1309.346126858145,1309.3479122035205,2261.6796270012856,2261.6843660362065
bursts_reference,k1-bursts_reference-000079,2520,1500,1024,16,8,7,2,,,ok,,1806.4247351139784,63.30737533668677,1806.4556368626654,2759.970454033464,16,0.026479829102754593,0.042516738176345825,0.10113511234521866,1607.4298457242548,1607.4311127886176,1607.45843173936,1639.978347811848,1806.4512149430811,1806.4535958692431,2756.0618449933827,2756.076002959162
bursts_reference,k1-bursts_reference-000074,2520,1500,1024,16,8,2,2,,,ok,,1809.4991990365088,63.30994926393032,1809.5310870558023,2765.3019069693983,16,0.029033981263637543,0.05359109491109848,0.11782394722104073,1608.7653441354632,1608.7666251696646,1608.7957378476858,1629.6845101751387,1809.5282330177724,1809.5297710970044,2759.1774719767272,2759.184352122247
bursts_reference,k1-bursts_reference-000078,2520,1500,1024,16,8,6,2,,,ok,,1807.4889783747494,63.30825658515096,1807.5253409333527,2765.0907090865076,16,0.024450942873954773,0.03903917968273163,0.09246915578842163,1606.2879860401154,1606.2895180657506,1606.3368921168149,1627.5379750877619,1807.5134293176234,1807.5239812023938,2757.1372780948877,2757.1417782455683
bursts_reference,k1-bursts_reference-000075,2520,1500,1024,16,8,3,2,,,ok,,1809.0194007381797,63.30831255763769,1809.052357915789,2768.503756262362,16,0.02891523763537407,0.04627835005521774,0.10501034557819366,1608.4896409884095,1608.491212129593,1608.5174842737615,1642.5208379514515,1809.048315975815,1809.0499979443848,2758.6730043403804,2758.6769140325487
