gpu_type,phase,slo_ms,sample_idx,target,p_violate_oof,rho_phase_oof,actual_unsafe
l40s,prefill,200,205,p99_ttft,0.7184857754076077,0.5206735694545573,0
l40s,prefill,200,206,p99_ttft,0.13814525550176873,0.06134072469057455,0
l40s,prefill,200,207,p99_ttft,0.7889592910059927,0.6134072469057454,0
l40s,prefill,200,208,p99_ttft,0.04419842306656886,0.09881149716205821,0
l40s,prefill,200,209,p99_ttft,0.7467911272774738,0.18745554707069959,0
l40s,prefill,200,210,p99_ttft,0.9377478220164367,0.44632696613077494,1
l40s,prefill,200,211,p99_ttft,0.9945723421388034,0.8111939647484068,1
l40s,prefill,200,212,p99_ttft,0.022235872256229177,0.0762824123326192,0
l40s,prefill,200,213,p99_ttft,0.11609286289415392,0.2095047485666781,0
l40s,prefill,200,214,p99_ttft,0.7040938342016898,0.28875667294506313,1
l40s,prefill,200,215,p99_ttft,0.010541173798168116,0.2683932549079451,0
l40s,prefill,200,216,p99_ttft,0.8617941158039436,0.7901381774343756,1
l40s,prefill,200,217,p99_ttft,0.009234418422424177,0.06897769387964894,0
l40s,prefill,200,218,p99_ttft,0.9503419655657864,0.3448884693982447,1
l40s,prefill,200,219,p99_ttft,0.19464482019740728,0.11157690362051036,0
l40s,prefill,200,220,p99_ttft,0.02210596964860352,0.022308925712405014,0
l40s,prefill,200,221,p99_ttft,0.025228855308536986,0.026466872189098992,0
l40s,prefill,200,222,p99_ttft,0.15004190949025478,0.2646687218909899,0
l40s,prefill,200,223,p99_ttft,0.3570487313411614,0.42764690687579765,1
l40s,prefill,200,224,p99_ttft,0.6673817511851474,0.702085563126511,1
l40s,prefill,200,225,p99_ttft,0.9940339416901585,0.48865011180419765,1
l40s,prefill,200,226,p99_ttft,0.9988454194887181,0.427944862638102,1
l40s,prefill,200,227,p99_ttft,0.012399956204380577,0.17159633684599118,0
l40s,prefill,200,228,p99_ttft,0.004872591806615744,0.08479385620413861,0
l40s,prefill,200,229,p99_ttft,0.06867168763597116,0.6062871432709416,0
l40s,prefill,200,230,p99_ttft,0.02320543276399957,0.5818127412117947,0
l40s,prefill,200,231,p99_ttft,0.06387464049478571,0.6214479521336231,0
l40s,prefill,200,232,p99_ttft,0.1069764000145917,0.7095362334523465,0
l40s,prefill,200,233,p99_ttft,0.06432591552527427,0.7359827596058502,0
l40s,prefill,200,234,p99_ttft,0.3829610865261868,0.21570302556907084,0
l40s,prefill,200,235,p99_ttft,0.02915442965337491,0.015864321588148465,0
l40s,prefill,200,236,p99_ttft,0.18900860782517334,0.15864321588148464,0
l40s,prefill,200,237,p99_ttft,0.8452840515464147,0.12279592618251034,1
l40s,prefill,200,238,p99_ttft,0.9393701801010848,0.17138065889789872,1
l40s,prefill,200,239,p99_ttft,0.20089539629069864,0.046871002244907874,0
l40s,prefill,200,240,p99_ttft,0.0026812358310069613,0.22153397540468125,0
l40s,prefill,500,0,p99_ttft,0.002397940752397703,0.0036940924547620045,0
l40s,prefill,500,1,p99_ttft,0.0021174156033169278,0.036940924547620047,0
l40s,prefill,500,2,p99_ttft,0.002512912542447851,0.1847046227381002,0
l40s,prefill,500,3,p99_ttft,0.0031792338295668914,0.005115330243567623,0
l40s,prefill,500,4,p99_ttft,0.0031792338295668914,0.051153302435676236,0
l40s,prefill,500,5,p99_ttft,0.007492675127950458,0.25576651217838114,0
l40s,prefill,500,6,p99_ttft,0.002397940752397703,0.006983573195211303,0
l40s,prefill,500,7,p99_ttft,0.002512912542447851,0.06983573195211303,0
l40s,prefill,500,8,p99_ttft,0.32292623413080124,0.3491786597605651,0
l40s,prefill,500,9,p99_ttft,0.0024234472316361447,0.011547547955512915,0
l40s,prefill,500,10,p99_ttft,0.001473100775239993,0.11547547955512914,0
l40s,prefill,500,11,p99_ttft,0.25180589020785976,0.5773773977756458,1
l40s,prefill,500,12,p99_ttft,0.005555760237522137,0.013635283552267377,0
l40s,prefill,500,13,p99_ttft,0.0016166134948539805,0.13635283552267377,0
l40s,prefill,500,14,p99_ttft,0.18457134218679358,0.6817641776133689,0
l40s,prefill,500,15,p99_ttft,0.0031792338295668914,0.015720210014329578,0
l40s,prefill,500,16,p99_ttft,0.004027720145982873,0.15720210014329578,0
l40s,prefill,500,17,p99_ttft,0.24734829772120728,0.7860105007164788,0
l40s,prefill,500,18,p99_ttft,0.0038626303496024864,0.028243292258707683,0
l40s,prefill,500,19,p99_ttft,0.008167398607137102,0.28243292258707686,0
l40s,prefill,500,20,p99_ttft,0.44341787237260893,1.4121646129353842,0
l40s,prefill,500,21,p99_ttft,0.002397940752397703,0.0452725663019745,0
l40s,prefill,500,22,p99_ttft,0.10874225806169963,0.45272566301974504,0
l40s,prefill,500,23,p99_ttft,0.7852896001196689,2.263628315098725,1
l40s,prefill,500,24,p99_ttft,0.008408446060591308,0.04132360836686409,0
l40s,prefill,500,25,p99_ttft,0.1044273088339678,0.41323608366864095,0
l40s,prefill,500,26,p99_ttft,0.7529571836706318,2.0661804183432047,1
l40s,prefill,500,27,p99_ttft,0.0061321484812579445,0.062437650560488084,0
l40s,prefill,500,28,p99_ttft,0.3888799456665664,0.6243765056048808,0
l40s,prefill,500,29,p99_ttft,0.9683229243922098,3.121882528024404,1
l40s,prefill,500,30,p99_ttft,0.0021824936564332504,0.1057079849358587,0
l40s,prefill,500,31,p99_ttft,0.34120809733981994,1.057079849358587,0
