unix_ns,monotonic_ns,window_id,request_id,attempt,event,http_status,detail
1785490338499602315,1115708543132419,baseline_3m,baseline_3m-00030-6a9522577a73,0,semaphore_acquired,,
1785490338501990482,1115708545520166,baseline_3m,baseline_3m-00030-6a9522577a73,1,attempt_send,,
1785490338561433940,1115708604964445,baseline_3m,baseline_3m-00028-6e121e3dd762,1,request_complete,200,
1785490338593583116,1115708637112911,baseline_3m,baseline_3m-00030-6a9522577a73,1,response_headers,200,response_request_id=baseline_3m-00030-6a9522577a73
1785490338766892759,1115708810422684,baseline_3m,baseline_3m-00030-6a9522577a73,1,first_token,,
1785490339495655785,1115709539185822,baseline_3m,baseline_3m-00031-4c6cf8f0eadd,0,client_ready,,
1785490339499148434,1115709542678468,baseline_3m,baseline_3m-00031-4c6cf8f0eadd,0,semaphore_acquired,,
1785490339501743945,1115709545273753,baseline_3m,baseline_3m-00031-4c6cf8f0eadd,1,attempt_send,,
1785490339588690339,1115709632220868,baseline_3m,baseline_3m-00029-395556660c4a,1,request_complete,200,
1785490339594180833,1115709637710591,baseline_3m,baseline_3m-00031-4c6cf8f0eadd,1,response_headers,200,response_request_id=baseline_3m-00031-4c6cf8f0eadd
1785490339747351100,1115709790880971,baseline_3m,baseline_3m-00031-4c6cf8f0eadd,1,first_token,,
1785490340495785427,1115710539315742,baseline_3m,baseline_3m-00032-55f2834703df,0,client_ready,,
1785490340499620180,1115710543150185,baseline_3m,baseline_3m-00032-55f2834703df,0,semaphore_acquired,,
1785490340502071100,1115710545600754,baseline_3m,baseline_3m-00032-55f2834703df,1,attempt_send,,
1785490340569243692,1115710612774002,baseline_3m,baseline_3m-00030-6a9522577a73,1,request_complete,200,
1785490340596171120,1115710639700897,baseline_3m,baseline_3m-00032-55f2834703df,1,response_headers,200,response_request_id=baseline_3m-00032-55f2834703df
1785490340728567515,1115710772097485,baseline_3m,baseline_3m-00032-55f2834703df,1,first_token,,
1785490341495404592,1115711538934300,baseline_3m,baseline_3m-00033-75ffa60d72b8,0,client_ready,,
1785490341499451279,1115711542981290,baseline_3m,baseline_3m-00033-75ffa60d72b8,0,semaphore_acquired,,
1785490341502206831,1115711545736853,baseline_3m,baseline_3m-00033-75ffa60d72b8,1,attempt_send,,
1785490341550556473,1115711594086854,baseline_3m,baseline_3m-00031-4c6cf8f0eadd,1,request_complete,200,
1785490341611792602,1115711655322447,baseline_3m,baseline_3m-00033-75ffa60d72b8,1,response_headers,200,response_request_id=baseline_3m-00033-75ffa60d72b8
1785490341766525655,1115711810055423,baseline_3m,baseline_3m-00033-75ffa60d72b8,1,first_token,,
1785490342495566416,1115712539096351,baseline_3m,baseline_3m-00034-76632bdb32dc,0,client_ready,,
1785490342499772432,1115712543302457,baseline_3m,baseline_3m-00034-76632bdb32dc,0,semaphore_acquired,,
1785490342502971181,1115712546501323,baseline_3m,baseline_3m-00034-76632bdb32dc,1,attempt_send,,
1785490342527270002,1115712570800532,baseline_3m,baseline_3m-00032-55f2834703df,1,request_complete,200,
1785490342602314448,1115712645844270,baseline_3m,baseline_3m-00034-76632bdb32dc,1,response_headers,200,response_request_id=baseline_3m-00034-76632bdb32dc
1785490342745107328,1115712788637187,baseline_3m,baseline_3m-00034-76632bdb32dc,1,first_token,,
1785490343495441002,1115713538970984,baseline_3m,baseline_3m-00035-5eb9d123032d,0,client_ready,,
1785490343499335718,1115713542865683,baseline_3m,baseline_3m-00035-5eb9d123032d,0,semaphore_acquired,,
1785490343501973506,1115713545503661,baseline_3m,baseline_3m-00035-5eb9d123032d,1,attempt_send,,
1785490343566715898,1115713610246323,baseline_3m,baseline_3m-00033-75ffa60d72b8,1,request_complete,200,
1785490343595763772,1115713639293594,baseline_3m,baseline_3m-00035-5eb9d123032d,1,response_headers,200,response_request_id=baseline_3m-00035-5eb9d123032d
1785490343782787711,1115713826317503,baseline_3m,baseline_3m-00035-5eb9d123032d,1,first_token,,
1785490344495511909,1115714539041721,baseline_3m,baseline_3m-00036-54e13e672bf3,0,client_ready,,
1785490344499278857,1115714542808849,baseline_3m,baseline_3m-00036-54e13e672bf3,0,semaphore_acquired,,
1785490344501722936,1115714545252525,baseline_3m,baseline_3m-00036-54e13e672bf3,1,attempt_send,,
1785490344546847197,1115714590377842,baseline_3m,baseline_3m-00034-76632bdb32dc,1,request_complete,200,
1785490344597621541,1115714641151403,baseline_3m,baseline_3m-00036-54e13e672bf3,1,response_headers,200,response_request_id=baseline_3m-00036-54e13e672bf3
1785490344762575336,1115714806105196,baseline_3m,baseline_3m-00036-54e13e672bf3,1,first_token,,
1785490345495626103,1115715539156471,baseline_3m,baseline_3m-00037-c1f9d7e0ecce,0,client_ready,,
1785490345499388201,1115715542918269,baseline_3m,baseline_3m-00037-c1f9d7e0ecce,0,semaphore_acquired,,
1785490345502043345,1115715545573482,baseline_3m,baseline_3m-00037-c1f9d7e0ecce,1,attempt_send,,
1785490345583657460,1115715627187847,baseline_3m,baseline_3m-00035-5eb9d123032d,1,request_complete,200,
1785490345597705943,1115715641235753,baseline_3m,baseline_3m-00037-c1f9d7e0ecce,1,response_headers,200,response_request_id=baseline_3m-00037-c1f9d7e0ecce
1785490345743018090,1115715786547998,baseline_3m,baseline_3m-00037-c1f9d7e0ecce,1,first_token,,
1785490346495586751,1115716539116991,baseline_3m,baseline_3m-00038-1be6e6236543,0,client_ready,,
1785490346499656922,1115716543186957,baseline_3m,baseline_3m-00038-1be6e6236543,0,semaphore_acquired,,
1785490346502280663,1115716545810751,baseline_3m,baseline_3m-00038-1be6e6236543,1,attempt_send,,
1785490346567458805,1115716610989256,baseline_3m,baseline_3m-00036-54e13e672bf3,1,request_complete,200,
1785490346605959191,1115716649489061,baseline_3m,baseline_3m-00038-1be6e6236543,1,response_headers,200,response_request_id=baseline_3m-00038-1be6e6236543
1785490346781845176,1115716825374849,baseline_3m,baseline_3m-00038-1be6e6236543,1,first_token,,
1785490347496060587,1115717539590609,baseline_3m,baseline_3m-00039-593d338a7c79,0,client_ready,,
1785490347499945408,1115717543475393,baseline_3m,baseline_3m-00039-593d338a7c79,0,semaphore_acquired,,
1785490347502620481,1115717546150364,baseline_3m,baseline_3m-00039-593d338a7c79,1,attempt_send,,
1785490347547211800,1115717590742100,baseline_3m,baseline_3m-00037-c1f9d7e0ecce,1,request_complete,200,
1785490347597626087,1115717641155889,baseline_3m,baseline_3m-00039-593d338a7c79,1,response_headers,200,response_request_id=baseline_3m-00039-593d338a7c79
1785490347761681987,1115717805212165,baseline_3m,baseline_3m-00039-593d338a7c79,1,first_token,,
1785490348495322241,1115718538852259,baseline_3m,baseline_3m-00040-1230b3ab14c2,0,client_ready,,
1785490348499360334,1115718542890372,baseline_3m,baseline_3m-00040-1230b3ab14c2,0,semaphore_acquired,,
1785490348502083651,1115718545613806,baseline_3m,baseline_3m-00040-1230b3ab14c2,1,attempt_send,,
1785490348581160687,1115718624691002,baseline_3m,baseline_3m-00038-1be6e6236543,1,request_complete,200,
1785490348601606136,1115718645135966,baseline_3m,baseline_3m-00040-1230b3ab14c2,1,response_headers,200,response_request_id=baseline_3m-00040-1230b3ab14c2
1785490348742772245,1115718786302069,baseline_3m,baseline_3m-00040-1230b3ab14c2,1,first_token,,
1785490349495320580,1115719538850565,baseline_3m,baseline_3m-00041-4235b83f07b3,0,client_ready,,
1785490349498787949,1115719542317923,baseline_3m,baseline_3m-00041-4235b83f07b3,0,semaphore_acquired,,
1785490349500787477,1115719544316992,baseline_3m,baseline_3m-00041-4235b83f07b3,1,attempt_send,,
1785490349564641909,1115719608172457,baseline_3m,baseline_3m-00039-593d338a7c79,1,request_complete,200,
1785490349595202727,1115719638732565,baseline_3m,baseline_3m-00041-4235b83f07b3,1,response_headers,200,response_request_id=baseline_3m-00041-4235b83f07b3
