phase,freq_mhz,input_len,burst_size,rep,send_mono_s,status,error,ttft_ms,tpot_ms,tokens,latency_ms,rank,burst_energy_j,burst_duration_ms
bursts_k1,2520,1024,8,0,1867824.32392254,ok,,605.255639879033,,1,605.293313972652,6,202.824,607.3320729192346
bursts_k1,2520,1024,8,0,1867824.324150805,ok,,605.1157440524548,,1,605.1485880743712,7,202.824,607.3320729192346
bursts_k1,2520,128,1,2,1867825.450834847,ok,,36.30552091635764,,1,36.376754054799676,0,0.0,36.59045393578708
bursts_k1,2520,1024,4,4,1867826.004688863,ok,,89.92763608694077,,1,89.99857609160244,0,103.149,305.20917288959026
bursts_k1,2520,1024,4,4,1867826.00531358,ok,,304.09538210369647,,1,304.1626310441643,1,103.149,305.20917288959026
bursts_k1,2520,1024,4,4,1867826.00577748,ok,,303.77943185158074,,1,303.818044019863,2,103.149,305.20917288959026
bursts_k1,2520,1024,4,4,1867826.006133097,ok,,303.51265403442085,,1,303.5438219085336,3,103.149,305.20917288959026
bursts_k1,2520,2048,4,2,1867826.84178068,ok,,315.95043698325753,,1,316.02040701545775,0,200.429,620.3671789262444
bursts_k1,2520,2048,4,2,1867826.842345824,ok,,315.53410505875945,,1,315.57521503418684,1,200.429,620.3671789262444
bursts_k1,2520,2048,4,2,1867826.842712674,ok,,619.1780080553144,,1,619.2197499331087,2,200.429,620.3671789262444
bursts_k1,2520,2048,4,2,1867826.843065023,ok,,618.6650739982724,,1,618.7328570522368,3,200.429,620.3671789262444
bursts_k1,2520,1024,8,2,1867827.988714086,ok,,164.54114113003016,,1,164.55861902795732,0,219.269,606.5343900118023
bursts_k1,2520,1024,8,2,1867827.989163164,ok,,163.97357685491443,,1,164.00361503474414,1,219.269,606.5343900118023
bursts_k1,2520,1024,8,2,1867827.989481795,ok,,460.61381488107145,,1,460.62757982872427,2,219.269,606.5343900118023
bursts_k1,2520,1024,8,2,1867827.989762497,ok,,460.40436811745167,,1,460.41830512695014,3,219.269,606.5343900118023
bursts_k1,2520,1024,8,2,1867827.990014352,ok,,459.9155301693827,,1,459.93383205495775,4,219.269,606.5343900118023
bursts_k1,2520,1024,8,2,1867827.990238062,ok,,459.81639996171,,1,459.8325078841299,5,219.269,606.5343900118023
bursts_k1,2520,1024,8,2,1867827.990454612,ok,,604.5201290398836,,1,604.5608220156282,6,219.269,606.5343900118023
bursts_k1,2520,1024,8,2,1867827.990671651,ok,,604.378768010065,,1,604.3948780279607,7,219.269,606.5343900118023
bursts_k1,2520,1024,2,3,1867829.126557288,ok,,85.858573904261,,1,85.93037305399776,0,26.729,162.34081983566284
bursts_k1,2520,1024,2,3,1867829.127186783,ok,,161.40144201926887,,1,161.47067421115935,1,26.729,162.34081983566284
bursts_k1,2520,1024,1,2,1867829.812441606,ok,,83.13261694274843,,1,83.20199581794441,0,30.532,83.4131829906255
bursts_k1,2520,2048,2,0,1867830.418868127,ok,,156.07759496197104,,1,156.17288695648313,0,97.842,302.44120908901095
bursts_k1,2520,2048,2,0,1867830.419597522,ok,,301.43055715598166,,1,301.50060215964913,1,97.842,302.44120908901095
bursts_k1,2520,2048,1,3,1867831.238146645,ok,,153.72582687996328,,1,153.79607491195202,0,57.264,154.0206139907241
bursts_k1,2520,128,2,1,1867831.918156203,ok,,38.27289678156376,,1,38.34340698085725,0,0.0,62.8423469606787
bursts_k1,2520,128,2,1,1867831.918527719,ok,,62.20437283627689,,1,62.27172398939729,1,0.0,62.8423469606787
bursts_k1,2520,128,4,0,1867832.500835462,ok,,41.64967010729015,,1,41.71933303587139,0,0.0,74.64858097955585
bursts_k1,2520,128,4,0,1867832.501351627,ok,,73.86152492836118,,1,73.89299292117357,1,0.0,74.64858097955585
bursts_k1,2520,128,4,0,1867832.501631857,ok,,73.32182000391185,,1,73.40793521143496,2,0.0,74.64858097955585
bursts_k1,2520,128,4,0,1867832.50186234,ok,,73.25873104855418,,1,73.29906220547855,3,0.0,74.64858097955585
bursts_k1,2520,128,4,3,1867833.099242159,ok,,40.25329416617751,,1,40.32333311624825,0,0.0,73.72431503608823
bursts_k1,2520,128,4,3,1867833.099589276,ok,,73.15284200012684,,1,73.18607112392783,1,0.0,73.72431503608823
bursts_k1,2520,128,4,3,1867833.099814026,ok,,72.6640340872109,,1,72.73071608506143,2,0.0,73.72431503608823
bursts_k1,2520,128,4,3,1867833.099999765,ok,,72.6268831640482,,1,72.66538008116186,3,0.0,73.72431503608823
bursts_k1,2520,2048,1,0,1867833.690905536,ok,,153.59063795767725,,1,153.6604620050639,0,49.685,153.86784821748734
bursts_k1,2520,1024,1,4,1867834.358378365,ok,,83.30026897601783,,1,83.37077405303717,0,16.22,83.59272591769695
bursts_k1,2520,2048,4,1,1867834.964291831,ok,,313.16272891126573,,1,313.2323028985411,0,193.955,619.0338530577719
bursts_k1,2520,2048,4,1,1867834.964825558,ok,,312.7789809368551,,1,312.82107904553413,1,193.955,619.0338530577719
bursts_k1,2520,2048,4,1,1867834.965251523,ok,,617.8447299171239,,1,617.8840259090066,2,193.955,619.0338530577719
bursts_k1,2520,2048,4,1,1867834.965646049,ok,,617.2704650089145,,1,617.3407998867333,3,193.955,619.0338530577719
bursts_k1,2520,128,4,2,1867836.100527017,ok,,40.648222202435136,,1,40.747252060100436,0,0.0,73.91084381379187
bursts_k1,2520,128,4,2,1867836.101055879,ok,,73.04057804867625,,1,73.10286397114396,1,0.0,73.91084381379187
bursts_k1,2520,128,4,2,1867836.101398453,ok,,72.50316115096211,,1,72.58086209185421,2,0.0,73.91084381379187
bursts_k1,2520,128,4,2,1867836.101682488,ok,,71.74370693974197,,1,71.83682080358267,3,0.0,73.91084381379187
bursts_k1,2520,2048,8,0,1867836.708075791,ok,,313.1352411583066,,1,313.2312661036849,0,417.336,1245.9837039932609
