request_id,workload_id,input_len,requested_output_len,observed_output_tokens,prefill_endpoint_id,decode_endpoint_id,ttft_ms,tpot_ms,client_observed_ttft_ms,client_observed_tpot_ms,mean_itl_ms,e2e_latency_ms,prefill_latency_ms,decode_stream_latency_ms,real_sse,logical_request_id_propagated
phase3c-xpyd_power_compare_optimized_256656-0077,prefill_medium,1024,64,64,P1,D1,395.14777006115764,58.08612704646611,403.36124796885997,58.091081080159974,58.0862063973669,4063.099356018938,310.73917099274695,3743.53454192169,True,True
phase3c-xpyd_power_compare_optimized_256656-0078,prefill_medium,1024,64,64,P1,D1,394.31465102825314,58.08363830123747,404.49530503246933,58.08879341191006,58.08253877700144,4064.089289982803,309.6779159968719,3743.592820945196,True,True
phase3c-xpyd_power_compare_optimized_256656-0079,prefill_medium,1024,64,64,P1,D1,395.1808620477095,58.08279565018084,403.85071304626763,58.089315776698406,58.083114110761215,4063.4776069782674,311.56475003808737,3742.565324064344,True,True
phase3c-xpyd_power_compare_optimized_256656-0080,prefill_medium,1024,64,64,P1,D1,391.6710850317031,58.08123055520275,400.56456497404724,58.08569492018294,58.08014787238328,4059.9633449455723,308.4882899420336,3742.047623032704,True,True
phase3c-xpyd_power_compare_optimized_256656-0081,prefill_medium,1024,64,64,P1,D1,393.2315269485116,58.090007365016,401.20583993848413,58.09690487304969,58.091270572890245,4061.3108469406143,310.86850399151444,3741.794234025292,True,True
phase3c-xpyd_power_compare_optimized_256656-0082,prefill_medium,1024,64,64,P1,D1,395.6499109044671,58.08207693709327,404.7248740680516,58.08712395151988,58.08159176238058,4064.2136830138043,311.4332789555192,3743.0779410060495,True,True
phase3c-xpyd_power_compare_optimized_256656-0083,prefill_medium,1024,64,64,P1,D1,394.592082942836,58.08161685819782,403.2656130148098,58.08580876143265,58.08116858714216,4062.6715649850667,310.9993620309979,3742.4178309738636,True,True
phase3c-xpyd_power_compare_optimized_256656-0084,prefill_medium,1024,64,64,P1,D1,393.3975270483643,58.084933270168094,402.4344179779291,58.089695094774164,58.08420980992239,4062.0852089487016,308.9059699559584,3743.537269998342,True,True
phase3c-xpyd_power_compare_optimized_256656-0085,prefill_medium,1024,64,64,P1,D1,387.35071499831975,58.08964055511982,396.5968299889937,58.09590318942413,58.09075620564972,4056.638730922714,304.5330320019275,3742.2047019936144,True,True
phase3c-xpyd_power_compare_optimized_256656-0086,prefill_medium,1024,64,64,P1,D1,391.1968980683014,58.08365495232422,399.8876000987366,58.08836177715825,58.08332236483693,4059.454392059706,306.5328210359439,3743.6174630420282,True,True
phase3c-xpyd_power_compare_optimized_256656-0087,prefill_medium,1024,64,64,P1,D1,389.03433294035494,58.086545762812925,397.0487309852615,58.092639254893925,58.0869509361773,4056.885004043579,304.96607697568834,3743.1873350869864,True,True
phase3c-xpyd_power_compare_optimized_256656-0088,prefill_medium,1024,64,64,P1,D1,391.36091410182416,58.082089554296715,400.07439197506756,58.086043269935224,58.08131650851537,4059.495117980987,307.14057106524706,3743.099279003218,True,True
phase3c-xpyd_power_compare_optimized_256656-0089,prefill_medium,1024,64,64,P1,D1,389.28725908044726,58.0842986810095,398.2017879607156,58.08813487445669,58.08303220796266,4057.7542850514874,304.6926580136642,3743.618327891454,True,True
phase3c-xpyd_power_compare_optimized_256656-0090,prefill_medium,1024,64,64,P1,D1,388.8594360323623,58.08703949127997,398.1384129729122,58.09228266737172,58.08711584125246,4057.952221017331,304.2601268971339,3743.781392928213,True,True
phase3c-xpyd_power_compare_optimized_256656-0091,prefill_medium,1024,64,64,P1,D1,391.51307404972613,58.08068998342764,400.5775769473985,58.08422801690915,58.07922671489891,4059.883942012675,306.7827820777893,3743.481555953622,True,True
phase3c-xpyd_power_compare_optimized_256656-0092,prefill_medium,1024,64,64,P1,D1,389.11346695385873,58.07864561950463,397.79341500252485,58.08156584241679,58.077090889185904,4056.9320630747825,303.8451160537079,3743.8815439818427,True,True
phase3c-xpyd_power_compare_optimized_256656-0093,prefill_medium,1024,64,64,P1,D1,388.2438539294526,58.08101944617986,396.5549760032445,58.085078889104935,58.080573745500594,4055.9149460168555,303.58802306000143,3743.4298320440575,True,True
phase3c-xpyd_power_compare_optimized_256656-0094,prefill_medium,1024,64,64,P1,D1,391.03980106301606,58.07700631622639,400.1179919578135,58.08030550796834,58.075782985219526,4059.177238959819,306.65831395890564,3742.9049029015005,True,True
phase3c-xpyd_power_compare_optimized_256656-0095,prefill_medium,1024,64,64,P1,D1,391.0064719384536,58.07994635006975,399.5714070042595,58.08296223865852,58.078639412535324,4058.798028039746,306.5226849867031,3743.212054017931,True,True
phase3c-xpyd_power_compare_optimized_256656-0096,prefill_heavy,2048,64,64,P1,D1,492.001028964296,59.77710509591455,12047.592927934602,59.77988220743894,59.77515239704637,15813.725507003255,397.3666919628158,3860.2670439286157,True,True
phase3c-xpyd_power_compare_optimized_256656-0097,prefill_heavy,2048,64,64,P1,D1,475.6964590633288,59.798574745876806,483.32760599441826,59.80345866613327,59.79848233243776,4250.945501960814,383.4789900574833,3859.2237030388787,True,True
phase3c-xpyd_power_compare_optimized_256656-0098,prefill_heavy,2048,64,64,P1,D1,474.24598305951804,59.79728987181766,488.2798669859767,59.802200253461564,59.79767415879501,4255.818482954055,381.5637769876048,3859.580687014386,True,True
phase3c-xpyd_power_compare_optimized_256656-0099,prefill_heavy,2048,64,64,P1,D1,475.1586060738191,59.79562507912753,482.7672849642113,59.79879349211438,59.79430449143466,4250.091274967417,382.38282909151167,3859.606788959354,True,True
phase3c-xpyd_power_compare_optimized_256656-0100,prefill_heavy,2048,64,64,P1,D1,471.11835598479956,59.79590839706361,480.34434393048286,59.79965133444658,59.794586841090926,4247.722378000617,378.1764899613336,3859.787247958593,True,True
phase3c-xpyd_power_compare_optimized_256656-0101,prefill_heavy,2048,64,64,P1,D1,470.3659530496225,59.80192466513328,479.1311159497127,59.80628033331226,59.80173639753567,4246.926776948385,377.8485159855336,3859.686581999995,True,True
phase3c-xpyd_power_compare_optimized_256656-0102,prefill_heavy,2048,64,64,P1,D1,475.7090660277754,59.79577115818208,485.07372091989964,59.79953377899374,59.79455495253205,4252.444348996505,382.82878207974136,3859.713844023645,True,True
phase3c-xpyd_power_compare_optimized_256656-0103,prefill_heavy,2048,64,64,P1,D1,472.91372693143785,59.79874004824235,481.5544720040634,59.80326657161294,59.79830414308087,4249.160266015679,380.02849207259715,3859.8953540204093,True,True
phase3c-xpyd_power_compare_optimized_256656-0104,prefill_heavy,2048,64,64,P1,D1,476.0516290552914,59.80104674577772,484.6065159654245,59.80428877759666,59.79976665029036,4252.276708954014,384.35514899902046,3858.903840999119,True,True
phase3c-xpyd_power_compare_optimized_256656-0105,prefill_heavy,2048,64,64,P1,D1,468.44280406367034,59.802394888792485,476.3669540407136,59.80992799861327,59.80480722122131,4244.39241795335,377.61897197924554,3858.093095012009,True,True
phase3c-xpyd_power_compare_optimized_256656-0106,prefill_heavy,2048,64,64,P1,D1,470.45089304447174,59.7980153961255,480.1349670160562,59.80172241291415,59.796701316603475,4247.643479029648,377.88043706677854,3859.5401640050113,True,True
