path	size_bytes	mtime_unix_s
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000010_periodic.prom	88092	1788168522.188871
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000011_periodic.prom	88078	1788168523.213870
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000012_periodic.prom	88079	1788168524.287870
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000013_periodic.prom	88079	1788168525.272870
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000014_periodic.prom	88255	1788168526.213869
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000015_periodic.prom	88268	1788168527.244869
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000016_periodic.prom	88267	1788168528.263868
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000017_periodic.prom	88254	1788168529.218868
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000018_periodic.prom	88254	1788168530.258868
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000019_periodic.prom	88253	1788168531.279867
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000020_periodic.prom	88267	1788168532.265867
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000021_periodic.prom	88257	1788168533.225867
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000022_periodic.prom	88257	1788168534.248866
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000023_periodic.prom	88257	1788168535.261866
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000024_periodic.prom	88269	1788168536.239866
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000025_periodic.prom	88253	1788168537.199865
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000026_periodic.prom	88253	1788168538.217865
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000027_periodic.prom	88252	1788168539.244865
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000028_periodic.prom	88239	1788168540.247864
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000029_periodic.prom	88269	1788168541.187864
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000030_periodic.prom	88256	1788168542.275863
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000031_periodic.prom	88255	1788168543.232863
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000032_periodic.prom	88265	1788168544.240863
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000033_periodic.prom	88252	1788168545.248863
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000034_periodic.prom	88251	1788168546.218862
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000035_periodic.prom	88251	1788168547.253862
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000036_after.prom	88237	1788168548.636861
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D1/capability.json	915	1788168483.153884
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D1/monitor.log	0	1788168482.923884
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D1/samples.jsonl	357245	1788168548.720861
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D1/stop.requested	5	1788168548.682861
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D1/raw_metrics/000001_before.prom	88039	1788168514.123873
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D1/raw_metrics/000002_periodic.prom	88052	1788168514.275873
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D1/raw_metrics/000003_periodic.prom	88039	1788168515.280873
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D1/raw_metrics/000004_periodic.prom	88039	1788168516.265873
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D1/raw_metrics/000005_periodic.prom	88039	1788168517.261872
