step,gpu_type,gpu_freq_mhz,mem_freq_mhz,tp_degree,input_len,output_len,request_rate,run,num_prompts,benchmark_duration_s,request_throughput_rps,output_token_throughput_tps,total_token_throughput_tps,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms,avg_power_w,min_power_w,max_power_w,energy_j,avg_gpu_util_pct,avg_mem_util_pct,monitor_samples
step2a,L40S,2520,9001,1,512,32,50,3,500,22.24,22.49,719.58,12210.30,4324.63,5650.71,5982.09,148.49,164.99,166.19,148.49,164.96,169.51,259.01,86.22,355.46,0,33.3,0.0,646
step2a,L40S,2520,9001,1,512,128,1,1,500,502.75,0.99,127.30,635.50,86.73,87.38,127.70,21.69,21.59,23.82,21.69,21.11,41.33,251.82,86.07,307.01,0,89.7,0.0,9035
step2a,L40S,2520,9001,1,512,128,1,2,500,502.76,0.99,127.30,635.49,86.45,87.25,124.21,21.69,21.60,23.72,21.69,21.12,41.27,249.29,85.49,315.53,0,88.6,0.0,9142
step2a,L40S,2520,9001,1,512,128,1,3,500,502.76,0.99,127.30,635.50,86.95,87.89,129.65,21.69,21.59,23.84,21.69,21.10,40.91,249.24,84.78,306.62,0,88.6,0.0,9175
step2a,L40S,2520,9001,1,512,128,10,1,500,53.29,9.38,1200.87,5994.96,167.46,158.03,335.83,40.88,42.25,49.11,40.88,32.20,127.63,273.1,86.10,360.80,0,66.6,0.0,1295
step2a,L40S,2520,9001,1,512,128,10,2,500,53.30,9.38,1200.69,5994.08,169.16,158.83,354.04,41.26,42.53,49.45,41.26,32.36,124.23,268.44,87.29,358.28,0,65.0,0.0,1327
step2a,L40S,2520,9001,1,512,128,10,3,500,53.30,9.38,1200.72,5994.19,167.35,155.37,347.55,41.17,42.41,49.49,41.17,32.48,126.49,277.87,86.81,362.56,0,69.0,0.0,1261
step2a,L40S,2520,9001,1,512,128,50,1,500,37.31,13.40,1715.29,8563.03,2059.23,1342.46,6436.45,117.62,128.56,138.20,117.62,80.23,199.39,266.78,86.19,356.20,0,50.9,0.0,1023
step2a,L40S,2520,9001,1,512,128,50,2,500,37.08,13.48,1725.88,8615.93,2026.14,1331.56,6321.26,116.96,127.77,137.31,116.96,79.99,198.22,271.27,86.59,352.66,0,53.3,0.0,978
step2a,L40S,2520,9001,1,512,128,50,3,500,37.19,13.45,1720.97,8591.42,2056.86,1333.19,6403.10,117.15,128.00,137.58,117.15,80.05,199.74,261.55,85.27,357.17,0,49.7,0.0,1039
step2a,L40S,2520,9001,1,512,512,1,1,500,511.52,0.98,500.47,999.97,97.64,96.09,143.62,24.08,23.83,26.45,24.08,23.29,45.63,292.09,85.83,342.74,0,96.6,0.0,9366
step2a,L40S,2520,9001,1,512,512,1,2,500,511.52,0.98,500.46,999.95,97.76,96.47,142.78,24.08,23.83,26.46,24.08,23.29,45.67,291.69,87.56,336.69,0,96.0,0.0,9406
step2a,L40S,2520,9001,1,512,512,1,3,500,511.51,0.98,500.48,999.98,97.78,95.87,141.09,24.08,23.82,26.45,24.08,23.28,45.67,291.06,88.78,340.35,0,96.0,0.0,9379
step2a,L40S,2520,9001,1,512,512,10,1,500,125.68,3.98,2036.94,4069.89,228.29,215.87,376.11,56.79,59.18,59.59,56.79,52.41,120.75,302.85,85.85,353.54,0,77.0,0.0,2776
step2a,L40S,2520,9001,1,512,512,10,2,500,125.68,3.98,2036.93,4069.88,227.28,215.03,376.30,56.78,59.22,59.65,56.78,52.59,120.99,307.99,86.74,354.20,0,78.8,0.0,2697
step2a,L40S,2520,9001,1,512,512,10,3,500,125.70,3.98,2036.52,4069.06,227.44,217.11,376.44,56.80,59.23,59.68,56.80,52.56,121.85,307.79,87.95,355.31,0,79.0,0.0,2707
step2a,L40S,2520,9001,1,512,512,50,1,500,152.62,3.28,1677.37,3351.46,3489.73,4192.99,6481.25,134.06,133.30,172.34,134.06,134.67,257.85,311.72,87.05,353.59,0,82.2,0.0,3216
step2a,L40S,2520,9001,1,512,512,50,2,500,152.71,3.27,1676.39,3349.50,3494.26,4192.39,6536.58,134.16,133.43,172.47,134.16,134.40,260.92,313.86,87.54,352.61,0,83.4,0.0,3179
step2a,L40S,2520,9001,1,512,512,50,3,500,152.79,3.27,1675.46,3347.65,3501.76,4225.62,6500.25,134.20,133.47,172.61,134.20,134.60,258.90,309.4,89.71,354.67,0,81.6,0.0,3255
step2a,L40S,2520,9001,1,512,1024,1,1,500,525.99,0.95,973.41,1459.16,110.86,106.51,154.86,29.29,29.78,29.84,29.29,28.91,51.06,320.92,87.17,352.81,0,95.9,0.0,9931
step2a,L40S,2520,9001,1,512,1024,1,2,500,525.96,0.95,973.45,1459.22,111.60,106.60,155.90,29.30,29.79,29.87,29.30,28.92,51.12,321.53,89.98,352.90,0,95.7,0.0,9951
step2a,L40S,2520,9001,1,512,1024,1,3,500,525.96,0.95,973.45,1459.23,111.35,106.76,149.07,29.29,29.78,29.85,29.29,28.91,51.05,321.23,87.93,352.75,0,95.7,0.0,9973
step2a,L40S,2520,9001,1,512,1024,10,1,500,283.21,1.77,1807.86,2710.03,261.28,270.74,403.85,66.78,69.13,69.62,66.78,63.58,131.88,321.17,86.44,353.96,0,89.3,0.0,5718
step2a,L40S,2520,9001,1,512,1024,10,2,500,283.01,1.77,1809.15,2711.96,257.74,265.10,394.85,66.73,69.09,69.52,66.73,63.56,130.52,320.64,86.69,353.30,0,89.4,0.0,5708
step2a,L40S,2520,9001,1,512,1024,10,3,500,282.81,1.77,1810.40,2713.83,258.67,264.64,396.25,66.68,69.04,69.49,66.68,63.51,130.53,320.09,86.22,352.34,0,88.6,0.0,5768
step2a,L40S,2520,9001,1,512,1024,50,1,500,382.07,1.31,1340.08,2008.80,16782.44,6172.79,85486.06,155.30,165.26,260.94,155.30,149.88,256.35,329.13,87.69,353.26,0,92.1,0.0,7304
step2a,L40S,2520,9001,1,512,1024,50,2,500,381.59,1.31,1341.75,2011.31,16681.08,6176.34,84143.07,155.15,164.85,260.46,155.15,149.75,254.52,328.91,86.93,355.97,0,92.1,0.0,7295
step2a,L40S,2520,9001,1,512,1024,50,3,500,382.10,1.31,1339.95,2008.61,16796.97,6213.82,85423.68,155.31,165.22,260.94,155.31,149.82,257.37,327.67,86.34,354.05,0,91.7,0.0,7333
step2a,L40S,2520,9001,1,1024,32,1,1,500,500.78,1.00,31.95,1053.36,118.90,120.99,225.28,22.63,22.67,29.63,22.63,21.12,80.39,179,83.22,384.04,0,45.7,0.0,9429
step2a,L40S,2520,9001,1,1024,32,1,2,500,500.78,1.00,31.95,1053.35,118.69,122.98,207.10,22.61,22.68,29.46,22.61,21.08,79.99,176.88,82.37,301.68,0,45.4,0.0,9497
step2a,L40S,2520,9001,1,1024,32,1,3,500,500.78,1.00,31.95,1053.36,118.60,122.68,205.31,22.60,22.65,29.47,22.60,21.04,80.00,178.39,82.09,306.00,0,45.9,0.0,9395
step2a,L40S,2520,9001,1,1024,32,10,1,500,51.12,9.78,313.00,10319.27,423.53,360.49,1042.80,82.87,80.44,160.30,82.87,90.08,166.73,258.26,81.29,358.26,0,41.4,0.0,1346
